,Unnamed: 0,usage_category,address,property_type,community_name,main_building_ratio,city,parking_space_price,transaction_date,elevator_available,building_age,number_of_land,number_of_building,number_of_parking_space,latitude,longitude,management_org_available,per_ping_calculation_method,note,price_per_ping,detailed_usage_classification,total_area_ping,property_b_l_p_type,district,total_price,total_floors,target_floor,transaction_floors,bedrooms,living_rooms,bathrooms,cor,診所_under_250_m,診所_under_500_m,診所_under_750_m
0,0,住,士林區中社路一段０１１巷００７２號四樓#士林區中社路一段１１巷７２號四樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-08,,41.0,1,1,0,25.109841388999303,121.5623636414188,1,總價/總面積,,384393.0,住家用,20.81,房地(土地+建物),A15,8000000,4.0,4.0,1.0,2.0,1.0,1.0,"(25.109841388999303, 121.5623636414188)",0.0,0.0,0.0
1,1,住,士林區後港街０２０巷００１８號四樓#士林區後港街２０巷１８號四樓,公寓(5樓含以下無電梯),,86.1,A,,2016-12-03,,38.0,2,1,0,25.08301416710221,121.5217354205053,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,299934.0,住家用,32.31,房地(土地+建物),A15,9690000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.08301416710221, 121.5217354205053)",5.0,16.0,9.0
2,2,住,士林區中正路１０４巷００１弄０００２號四樓#士林區中正路１０４巷１弄２號四樓,華廈(10層含以下有電梯),,49.54,A,,2016-12-02,,18.0,1,1,1,25.096834957429344,121.52969579806587,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,189660.0,住家用,10.55,房地(土地+建物)+車位,A15,2000000,6.0,4.0,1.0,2.0,1.0,1.0,"(25.096834957429344, 121.52969579806587)",6.0,11.0,23.0
3,3,住,士林區中山北路七段１９０巷００１６之３號７樓#士林區中山北路七段１９０巷１６之３號７樓,華廈(10層含以下有電梯),海山華廈,72.92,A,,2016-12-10,,29.0,1,1,1,25.125401572552573,121.53416242019422,0,總價/總面積,"本案車位面積無法概算。
含增建或未登記建物。含增建或未登記建物。;",551888.0,住家用,61.39,房地(土地+建物)+車位,A15,33880000,7.0,7.0,1.0,4.0,2.0,2.0,"(25.125401572552573, 121.53416242019422)",3.0,3.0,7.0
4,4,住,士林區延平北路五段２８５巷００８９號四樓#士林區延平北路五段２８５巷８９號四樓,套房(1房(1廳)1衛),硯藏,51.19,A,,2016-12-06,,,1,1,0,25.0843474191753,121.50694037083063,0,總價/總面積,,522684.0,住家用,17.56,房地(土地+建物),A15,9180000,5.0,4.0,1.0,1.0,1.0,1.0,"(25.0843474191753, 121.50694037083063)",0.0,34.0,8.0
5,5,住,士林區士東路０１２３號四樓#士林區士東路１２３號四樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-12,,42.0,1,1,0,25.112459042595425,121.530645601566,1,總價/總面積,受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。;,604311.0,住家用,28.46,房地(土地+建物),A15,17200000,4.0,4.0,1.0,1.0,1.0,2.0,"(25.112459042595425, 121.530645601566)",10.0,30.0,41.0
6,6,住,士林區天母北路００４０號三樓#士林區天母北路４０號三樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-19,,46.0,1,1,0,25.12038292395425,121.52633648308456,1,總價/總面積,,510152.0,住家用,24.5,房地(土地+建物),A15,12500000,3.0,3.0,1.0,3.0,2.0,1.0,"(25.12038292395425, 121.52633648308456)",12.0,17.0,27.0
7,7,住,士林區中社路二段００４２號#士林區中社路二段４２號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-17,,41.0,1,1,0,25.10682518532789,121.56258780824412,1,總價/總面積,,400251.0,住家用,20.81,房地(土地+建物),A15,8330000,4.0,1.0,1.0,3.0,1.0,1.0,"(25.10682518532789, 121.56258780824412)",0.0,0.0,0.0
8,8,住,士林區天母北路００１３號四樓#士林區天母北路１３號四樓,華廈(10層含以下有電梯),,77.13,A,,2016-12-16,,40.0,1,1,0,25.11943450556012,121.52647124751589,0,總價/總面積,,504774.0,住家用,40.81,房地(土地+建物),A15,20600000,7.0,4.0,1.0,3.0,2.0,2.0,"(25.11943450556012, 121.52647124751589)",15.0,18.0,26.0
9,9,住,士林區後街０２１巷００３４號#士林區後街２１巷３４號,公寓(5樓含以下無電梯),,91.31,A,,2016-12-06,,38.0,1,1,0,25.098855947815903,121.52497525989293,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,553531.0,住家用,37.04,房地(土地+建物),A15,20500000,4.0,1.0,1.0,4.0,2.0,3.0,"(25.098855947815903, 121.52497525989293)",5.0,30.0,22.0
